"責任","せきにん","duty, responsibility (incl. supervision of staff); liability, onus"
"控える","ひかえる","to be temperate in, to refrain, to abstain, to hold back, to restrain oneself from excessive ...; to make notes, to jot down (e.g. phone number); to be in preparation for, to be in waiting for; to be soon, to be in the offing; to be in a close relationship (e.g. as a backer, etc.)"
"厚い","あつい","thick, deep, heavy; kind, cordial, hospitable, warm, faithful; serious (of an illness); abundant"
"速度","そくど","speed, velocity, pace, rate; velocity"
"狩り","かり, がり","hunting, hunt, shooting; gathering (mushrooms, shellfish, etc.), picking (berries, fruit, etc.), viewing (e.g. autumn leaves); hunting down (a criminal, etc.), rounding up (e.g. communists), witch-hunt"
"解放","かいほう","release, unleashing, liberation, emancipation, setting free; deallocation (of computer memory)"
"真っ赤","まっか","bright red, deep red, flushed (of face); downright (e.g. lie), complete, utter"
"Ｈ","エッチ, エイチ, えっち","H, h; indecent, lewd, sexy, dirty, obscene; (having) sex; nth year in the Heisei era (1989.1.8-2019.4.30); hour; hydrogen (H); hole"
"","ショック","shock (emotional); shock (physical), impact, jolt; crisis (esp. financial), event that rattles the markets; (circulatory) shock"
"同情","どうじょう","sympathy, compassion, pity"
"懐かしい","なつかしい","dear (old), fondly remembered, beloved, missed, nostalgic"
"傘","かさ","umbrella, parasol; something shaped like an umbrella or a conical hat, shade (of a lamp), mushroom cap, pileus"
"政治","せいじ","politics, government"
"流石","さすが","as one would expect, just as you'd expect (from), just like (someone); still, all the same, after all; even ... (e.g. ""even a genius"")"
"","だけでなく","not only ... (but also), not just, as well as"
"神社","じんじゃ, じんしゃ","Shinto shrine"
"顔つき","かおつき","(outward) looks, features, face, countenance, expression"
"","あっさり, アッサリ","easily, readily, quickly, flatly (refuse); lightly (seasoned food, applied make-up, etc.), plainly, simply"
"駆けつける","かけつける","to run to, to come running, to rush (someplace), to hasten"
"育てる","そだてる","to raise, to rear, to bring up; to train, to teach, to educate; to promote the growth of, to nurture, to foster, to develop"
"方面","ほうめん","direction, district, area; field (e.g. of study), sphere, quarter, aspect, angle"
"赤ん坊","あかんぼう, あかんぼ","baby, infant"
"仮に","かりに","supposing, even if, granting that, for argument's sake; temporarily, provisionally, for the time being"
"若しかしたら","もしかしたら","perhaps, maybe, perchance, by some chance, by any chance"
"使用","しよう","use, application, employment, utilization, utilisation"
"隙間","すきま","gap, opening, aperture, crevice, crack, chink, space; spare moment, interval, break; unguarded moment, carelessness, chink in one's armor, weak spot"
"十四","じゅうし, じゅうよん","fourteen, 14"
"珍","ちん","rare; strange, odd, peculiar, curious"
"宙","ちゅう","space, air, midair; (from) memory, (by) heart"
"真ん中","まんなか","middle, centre, center, midpoint, heart"
"到底","とうてい","(cannot) possibly, (not) by any means, (not) at all, utterly, absolutely"
"同","どう","the same, the said; likewise"
"膨らむ","ふくらむ","to expand, to swell (out), to get big, to become inflated"
"","グループ","group (usu. of people)"
"大地","だいち","earth, ground, the solid earth, the (vast) land"
"７０","ななじゅう, しちじゅう, ななそ","seventy, 70"
"何より","なにより","above anything else, above all, more than anything; best, greatest, excellent, wonderful, most important"
"ご存知","ごぞんじ","knowing, being aware (of); (an) acquaintance"
"","チラリ, ちらり","fleeting (glimpse, glance, etc.)"
"衆","しゅう, しゅ","great numbers (of people), numerical superiority, masses; people, folk, clique, bunch"
"敢えて","あえて","purposely (of something needless, unexpected or seemingly counterproductive, etc.), daringly (doing something), deliberately, intentionally; not necessarily, not particularly, not especially; definitely not"
"久しぶり","ひさしぶり","a long time (since the last time), first in a long time; it's been a long time, long time no see"
"昼間","ひるま, ちゅうかん","daytime, during the day, time from sunrise until sunset, diurnal period"
"感動","かんどう","being deeply moved emotionally, excitement, passion, inspiration, deep emotion, strong impression"
"慎重","しんちょう","careful, cautious, prudent, discreet, deliberate"
"分ける","わける","to divide (into), to split (into), to part, to separate, to divide up, to classify, to sort out, to divide out; to share, to distribute, to deal out, to dish out; to distinguish, to discriminate, to differentiate (between); to break up (a fight), to mediate; to call a draw, to tie; to push one's way through (a crowd); to sell"
"気の毒","きのどく","pitiful, unfortunate, poor, miserable, wretched; unpardonable, regrettable"
"下手","したて, したで","humble position, inferior; underarm grip on opponent's belt"
"いつの間にか","いつのまにか","before one knows, before one becomes aware of, unnoticed, unawares"
"見守る","みまもる","to watch over, to keep watch over, to keep an eye on; to watch intently, to stare, to gaze, to watch (and see what happens), to follow"
"今更","いまさら","now (when it is already much too late), at this stage; afresh, anew, again"
"個人","こじん","individual, private person, personal, private; natural person"
"一族","いちぞく","family, relatives, dependents; household"
"予感","よかん","presentiment, premonition, hunch; to have a premonition, to have a hunch"
"鞄","かばん, カバン","bag, satchel, briefcase, basket"
"顔を出す","かおをだす","to turn up, to make an appearance, to put in an appearance, to drop by"
"青果","せいか","fruits and vegetables, produce"
"外国","がいこく, そとぐに","foreign country"
"隊長","たいちょう","commanding officer"
"列","れつ","row, line, file, column, queue, rank, procession; company (of someone), group, ranks; sequence; counter for rows"
"訓練","くんれん","training, drill, practice, discipline"
"刻む","きざむ","to mince, to cut fine, to chop up, to hash, to shred; to carve, to engrave, to chisel, to notch; to tick away (time), to beat out (e.g. rhythm), to record the passing moments; to etch (into one's mind), to remember distinctly; to have tattooed; to torment"
"焦る","あせる","to be in a hurry, to be impatient, to be anxious (to do), to fret; to get a fright, to panic, to get flustered, to be startled"
"","コート","coat; coating"
"天下","てんか, てんが, てんげ","the whole world; the whole country; society, the public; supremacy over a nation, government of a country, the ruling power; having one's own way, doing as one pleases; peerless, incomparable, superlative, world-famous; shogun (Edo period)"
"誓う","ちかう","to swear, to vow, to take an oath, to pledge"
"才能","さいのう","talent, ability"
"広場","ひろば","public square, square, plaza, piazza, forum; open space, clearing"
"絶望","ぜつぼう","despair, hopelessness"
"小学校","しょうがっこう","primary school, elementary school, grade school"
"今後","こんご","from now on, hereafter"
"叔父","おじ, はくふ, しゅくふ","uncle"
"３００","さんびゃく","300, three hundred; 300 mon, trifling amount, two-bit item; shyster"
"決意","けつい","decision, determination, resolution"
"","ぴったり, ピッタリ, ぴたり, ピタリ, ぴったし, ピッタシ","tightly, closely; exactly, precisely; suddenly (stopping); perfectly (suited), ideally"
"責める","せめる","to condemn, to blame, to criticize, to criticise, to reproach, to accuse; to urge, to press, to pester; to torture, to torment, to persecute; to break in (a horse)"
"操作","そうさ","operation, management, handling; manipulating (to one's benefit), manipulation, influencing"
"収める","おさめる","to put (into), to put away (in), to put back (in), to keep (in), to store (in), to restore (to its place); to include (in an anthology, catalogue, etc.), to contain, to publish (in), to capture (on film); to achieve (results, success, etc.), to obtain, to get, to gain, to win, to make (a profit); to pay (fees, taxes, etc.), to deliver, to supply; to accept (a gift or money); to keep (within a limit); to offer (to a shrine, deity, etc.), to dedicate; to subdue, to suppress, to settle; to finish, to conclude, to wind up, to bring to a close"
"","エレベーター, エレベータ","elevator, lift; elevator"
"依頼","いらい","request, commission, entrusting (with a matter); dependence, reliance"
"作者","さくしゃ","creator (of a work), author, writer, artist, composer, playwright, dramatist"
"爺さん","じいさん, ジイさん","grandfather; male senior-citizen"
"勝利","しょうり","victory, triumph, win, conquest, success"
"何故なら","なぜなら","because, the reason is, if you want to know why"
"憎む","にくむ","to hate, to detest"
"","せずに","without (doing), instead of"
"得意","とくい","satisfaction, pride, triumph, elation; one's strong point, one's forte, one's specialty; regular customer, regular client, patron"
